Zaman(s);Hata_e(t);Kontrol_u(t);Araba_X;Araba_Z;Referans_X;Referans_Z
0,01999999;-0,421389;-1;35,85746;-9,91864;36,27816;-9,89455
0,03999998;-0,4139346;1;35,86021;-9,836179;36,27346;-9,812513
0,05999998;-0,4058495;1;35,86288;-9,741439;36,26807;-9,718237
0,07999997;-0,3979019;1;35,86539;-9,646215;36,26264;-9,623468
0,09999996;-0,3909746;1;35,86686;-9,550694;36,25719;-9,528341
0,12;-0,3857473;1;35,86662;-9,455142;36,25174;-9,43309
0,14;-0,3825146;-0,5924872;35,8644;-9,359721;36,24628;-9,337854
0,16;-0,380944;-1;35,86052;-9,264518;36,24084;-9,242741
0,1799999;-0,3798816;-1;35,85614;-9,169439;36,2354;-9,147722
0,1999999;-0,3784476;-1;35,85183;-9,074423;36,22957;-9,051271
0,2199999;-0,3761087;-1;35,84835;-8,979396;36,22375;-8,956388
0,2399999;-0,3726041;-0,2214953;35,84604;-8,884439;36,21795;-8,861645
0,2599999;-0,3679796;0,9447515;35,84486;-8,789493;36,21215;-8,766983
0,2799999;-0,3628964;1;35,84412;-8,694446;36,20634;-8,672247
0,2999999;-0,3582377;1;35,84296;-8,599362;36,20053;-8,577446
0,3199999;-0,3540983;0,5983222;35,84128;-8,504213;36,19471;-8,482552
0,3399999;-0,3508304;-0,2403289;35,83873;-8,409172;36,1889;-8,387711
0,3599998;-0,3478326;-0,480569;35,83567;-8,314205;36,18277;-8,291512
0,3799998;-0,3447744;-0,3895178;35,83253;-8,219282;36,17657;-8,196789
0,3999998;-0,3417276;-0,3705242;35,82938;-8,124357;36,17038;-8,102062
0,4199998;-0,3387572;-0,4171738;35,82616;-8,029503;36,16419;-8,007402
0,4399998;-0,3357793;-0,3798243;35,82293;-7,934589;36,158;-7,912682
0,4599997;-0,332778;-0,3265363;35,81971;-7,839274;36,15178;-7,817566
0,4799997;-0,3297923;-0,312176;35,81649;-7,744342;36,14558;-7,722828
0,4999997;-0,3268028;-0,2784958;35,81328;-7,649324;36,13939;-7,628002
0,5199997;-0,3236361;-0,06968409;35,81006;-7,554284;36,13292;-7,531837
0,5399997;-0,3202597;0,1737988;35,80684;-7,459228;36,12633;-7,437016
0,5599996;-0,3168871;0,20374;35,80361;-7,364161;36,11973;-7,342182
0,5799996;-0,3135182;0,2337036;35,80038;-7,269094;36,11314;-7,247349
0,5999996;-0,3101417;0,2751282;35,79715;-7,17403;36,10654;-7,152519
0,6199996;-0,3067612;0,3128067;35,79393;-7,078966;36,09995;-7,05769
0,6399996;-0,3033807;0,3467613;35,79071;-6,983901;36,09336;-6,96286
0,6599995;-0,2999849;0,3959182;35,7875;-6,888837;36,08677;-6,868031
0,6799995;-0,2964613;0,5589464;35,78429;-6,793776;36,07995;-6,771965
0,6999995;-0,2925791;0,9564397;35,78117;-6,698716;36,07296;-6,677189
0,7199995;-0,28919;0,4972515;35,77756;-6,603699;36,06597;-6,582424
0,7399995;-0,2860039;0,325979;35,77375;-6,508634;36,05898;-6,487591
0,7599995;-0,2830433;0,1302204;35,76969;-6,413465;36,05197;-6,392639
0,7799994;-0,280159;0,08267969;35,76556;-6,318269;36,04496;-6,297657
0,7999994;-0,2772786;0,1076695;35,76144;-6,223166;36,03796;-6,202766
0,8199994;-0,274398;0,1365945;35,75731;-6,12815;36,03097;-6,107964
